AltitudeVariation;VehicleSpeedInstantaneous;VehicleSpeedAverage;VehicleSpeedVariance;VehicleSpeedVariation;LongitudinalAcceleration;EngineLoad;EngineCoolantTemperature;ManifoldAbsolutePressure;EngineRPM;MassAirFlow;IntakeAirTemperature;VerticalAcceleration;FuelConsumptionAverage;roadSurface;traffic;drivingStyle
-2,299999237;39,59999847;41,69999895;149,8271089;-0,900001526;1,258;52,54901886;42;103;1663,5;16,48999977;19;-0,4992;14,94013214;2;0;0
-1,399997711;40,5;41,72999894;149,6980582;0,900001526;1,2725;29,01960754;42;103;1677,5;16,48999977;18;-0,3994;14,94013214;2;0;0
-1,199996948;41,39999771;41,77499889;149,5422363;0,899997711;1,2193;0;42;104;1602,5;21,46999931;18;-0,2132;14,96306229;2;0;0
-0,5;40,5;41,78999891;149,4893803;-0,899997711;1,1904;56,86274719;43;103;1614,5;20,19000053;18;-0,0728;14,98391438;2;0;0
0,5;39,59999847;41,80499887;149,4086094;-0,900001526;1,2899;39,60784531;43;102;1640;16,02000046;18;-0,1211;14,9672842;2;0;0
1;40,5;41,84999889;149,16355;0,900001526;1,3174;17,25490189;43;102;1640;15,57999992;18;-0,3181;14,94139862;2;0;0
1,299999237;40,5;41,87999887;149,0253468;0;1,3902;0;43;103;1621;20,40999985;18;-0,3619;14,96325493;2;0;0
2,399997711;39,59999847;41,93999885;148,5237877;-0,900001526;1,0419;0;43;103;1556;19,40999985;18;-0,501;14,9813633;2;0;0
2,299999237;37,79999924;41,84999889;148,7791437;-1,799999237;1,1599;21,17647171;43;103;1496,5;18,69000053;18;-0,5743;15,00137424;2;0;0
2,099998474;36,89999771;41,71499885;149,0077285;-0,900001526;0,973;59,60784531;43;104;1438;15,35999966;18;-0,7566;14,99629116;2;0;0
2,199996948;36;41,56499885;149,3555248;-0,899997711;0,6436;56,86274719;43;103;1487,5;16,21999931;18;-0,892;14,99114227;2;0;0
1,899997711;36;41,39999889;149,5342281;0;0,4882;57,25490189;43;103;1520;15,65999985;18;-1,0039;14,98051071;2;0;0
1,799999237;37,79999924;41,2199989;148,842296;1,799999237;0,5436;57,25490189;43;103;1596;16,21999931;18;-0,9593;14,9672823;2;0;0
1;38,70000076;41,02499895;147,4829149;0,900001526;0,601;76,47058868;44;113;1681;21,65999985;20;-0,9108;14,98864079;2;0;0
0,899997711;41,39999771;40,85999893;145,6681944;2,699996948;0,6737;74,50980377;44;121;1783;23,40999985;23;-0,8016;15,01053238;2;0;0
0,5;44,09999847;40,70999893;143,2839573;2,700000763;0,5427;72,94117737;44;125;1915,5;24,29999924;25;-0,649;15,02843952;2;0;0
-0,399997711;47,69999695;40,58999891;140,6846353;3,599998474;0,581;63,52941132;44;123;1997;23,19000053;26;-0,7311;15,03429222;2;0;0
-0,400001526;49,5;40,46999896;137,6167045;1,800003052;0,4529;0;44;106;803,5;14,93999958;23;-0,6779;14,96446514;2;0;0
0,100002289;49,5;40,31999896;133,4660263;0;0,3637;89,80392456;44;111;1491;21,23999977;22;-0,6725;14,95537472;2;0;0
-0,099998474;50,39999771;40,16999896;128,9950097;0,899997711;0,2594;78,4313736;44;120;1568;22,29999924;23;-0,7003;14,94503689;2;0;0
-0,200000763;53,09999847;40,04999895;124,9459245;2,700000763;0,4678;77,2549057;44;122;1630;22,54999924;25;-0,5547;14,93101501;2;0;0
-0,299999237;54,89999771;39,95999893;121,7251441;1,799999237;0,5527;73,72549438;44;123;1707;21,37999916;25;-0,5087;14,90328407;2;0;0
-0,599998474;57,59999847;39,89999895;119,3491452;2,700000763;0,6095;41,5686264;44;111;1740,5;21,96999931;26;-0,6371;14,87774372;2;0;0
-0,399997711;58,5;39,86999896;118,1583999;0,900001526;0,7419;0;45;106;1711,5;21,96999931;24;-0,7037;14,87774372;2;0;0
-0,099998474;58,5;39,86999896;118,1583999;0;0,8756;0;45;105;1682;22,32999992;22;-0,7986;14,85799599;2;0;0
-0,100002289;57,59999847;39,86999896;118,1583999;-0,900001526;1,0074;0;45;105;1629;21,77000046;21;-0,6554;14,83747864;2;0;0
-0,199996948;55,79999924;39,86999896;118,1583999;-1,799999237;0,9722;0;45;104;1589,5;20,90999985;20;-0,6135;14,81397724;2;0;0
-0,200000763;54,89999771;39,86999896;118,1583999;-0,900001526;1,3046;0;45;104;1589,5;20,21999931;20;-0,5667;14,79149151;2;0;0
0,400001526;52,19999695;39,86999896;118,1583999;-2,700000763;1,3804;0;45;103;1486,5;18,46999931;19;-0,6917;14,76764202;2;0;0
0,100002289;48,59999847;39,82499895;117,2337641;-3,599998474;1,6672;0;46;103;1375;17,12999916;19;-0,6612;14,74244308;2;0;0
0;45,89999771;39,76499891;116,2690855;-2,700000763;2,3048;1,176470637;46;102;1312;16,40999985;19;-0,5688;14,71798611;2;0;0
-0,400001526;44,09999847;39,70499894;115,516747;-1,799999237;2,6627;24,31372643;46;102;1297;15,88000011;19;-0,5316;14,69255733;2;0;0
-0,300003052;44,09999847;39,59999895;113,8942304;0;2,6972;67,84313965;46;102;1247,5;12,65999985;18;-0,5003;14,63440704;2;0;0
-0,400001526;45;39,65999899;114,3298917;0,900001526;2,8988;52,54901886;46;102;1279,5;15,90999985;18;-0,5647;14,61065006;2;0;0
0;42,29999924;39,74999901;114,3106712;-2,700000763;2,9349;52,54901886;46;104;1319;15,73999977;19;-0,6699;14,5824337;2;0;0
